data_source,category,topic,traffic,sub_topics,date,modified_topic,database_id,Agent Settings,gen_type
google_trends,,Oilers,100K+,Edmonton Oilers; Edmonton Oilers; Canucks;,20240520,The recent performance of the Edmonton Oilers in the NHL.,1,assistant,common
google_trends,,Full moon May 2024,100K+,,20240520,Observing the full moon in May 2024 and its significance.,2,assistant,common
google_trends,,Kyle Busch,50K+,Ricky Stenhouse Jr;,20240520,Kyle Busch's recent performance in NASCAR races.,5,assistant,common
google_trends,,Zac Brown,50K+,,20240520,The latest news and music from Zac Brown Band.,6,assistant,common
google_trends,,Celtics,1M+,pacers vs celtics; pacers vs celtics; Boston Celtics; pacers vs celtics; pacers vs celtics; Boston Celtics; celtics vs pacers;,20240521,Discuss the recent game between the Pacers and the Boston Celtics.,9,assistant,common
google_trends,,Singapore Airlines,100K+,singapore airlines flight turbulence; singapore airlines flight turbulence; singapore airlines turbulence;,20240521,Experiencing turbulence on a Singapore Airlines flight.,11,assistant,common
google_trends,,Caitlin Clark,100K+,,20240521,Caitlin Clark's latest basketball achievements and highlights.,12,assistant,common
google_trends,,Graceland,100K+,Riley Keough; Riley Keough; graceland foreclosure;,20240521,"The history and significance of Graceland, Elvis Presley's home.",13,assistant,common
google_trends,,Full moon,20K+,,20240521,The beauty and science of the full moon.,16,assistant,common
google_trends,,Hellblade 2,20K+,,20240521,Discussion about the upcoming game Hellblade 2 and its features.,17,assistant,common
google_trends,,Bryce Harper,20K+,,20240521,The latest performance and achievements of Bryce Harper.,19,assistant,common
google_trends,,Nvidia stock,200K+,NVIDIA; NVIDIA; nvidia stock split;,20240522,The recent performance of NVIDIA stock in the market.,20,assistant,common
google_trends,,Timberwolves,200K+,,20240522,The latest performance and news about the Minnesota Timberwolves.,21,assistant,common
google_trends,,Europa League,200K+,Leverkusen;,20240522,The excitement surrounding the Europa League matches.,22,assistant,common
google_trends,,Pacers,200K+,,20240522,Discuss the recent performance of the Indiana Pacers in the NBA.,23,assistant,common
google_trends,,Minnesota timberwolves,100K+,,20240522,The recent performance of the Minnesota Timberwolves in the NBA.,24,assistant,common
google_trends,,Tyrese Haliburton,50K+,,20240522,Discuss Tyrese Haliburton's recent performance and stats in the NBA.,26,assistant,common
google_trends,,Nikki Haley,50K+,,20240522,Discuss Nikki Haley's recent political activities and viewpoints.,27,assistant,common
google_trends,,Indiana Pacers,20K+,,20240522,The current performance and standings of the Indiana Pacers in the NBA.,28,assistant,common
google_trends,,Kelly Rowland,20K+,,20240522,Kelly Rowland's latest music and career updates.,30,assistant,common
google_trends,,Herbs,20K+,,20240522,The benefits and uses of various herbs in everyday life.,31,assistant,common
google_trends,,Texas,20K+,,20240522,Let's talk about the culture and history of Texas.,32,assistant,common
google_trends,,Celtics,200K+,,20240523,The recent performance of the Boston Celtics in the NBA.,33,assistant,common
google_trends,,Celtics vs Pacers,200K+,,20240523,The recent Celtics vs Pacers basketball game highlights.,34,assistant,common
