data_source,category,topic,traffic,sub_topics,date
google_trends,,Pacers,200K+,,20240520
google_trends,,Oilers,100K+,Edmonton Oilers; Edmonton Oilers; Canucks; ,20240520
google_trends,,Full moon May 2024,100K+,,20240520
google_trends,,ICC,50K+,Netanyahu; ,20240520
google_trends,,Woo,50K+,,20240520
google_trends,,Kyle Busch,50K+,Ricky Stenhouse Jr; ,20240520
google_trends,,Zac Brown,50K+,,20240520
google_trends,,Jim Otto,20K+,,20240520
google_trends,,Ivan Boesky,20K+,,20240520
google_trends,,Celtics,1M+,pacers vs celtics; pacers vs celtics; Boston Celtics; pacers vs celtics; pacers vs celtics; Boston Celtics; celtics vs pacers; ,20240521
google_trends,,"Greenfield, Iowa tornado",200K+,iowa tornado; iowa tornado; Tornado; iowa tornado; iowa tornado; Tornado; Iowa; ,20240521
google_trends,,Singapore Airlines,100K+,singapore airlines flight turbulence; singapore airlines flight turbulence; singapore airlines turbulence; ,20240521
google_trends,,Caitlin Clark,100K+,,20240521
google_trends,,Graceland,100K+,Riley Keough; Riley Keough; graceland foreclosure; ,20240521
google_trends,,Matthew Perry,100K+,ketamine; ,20240521
google_trends,,Grandma McFlurry,50K+,,20240521
google_trends,,Full moon,20K+,,20240521
google_trends,,Hellblade 2,20K+,,20240521
google_trends,,Fani Willis,20K+,,20240521
google_trends,,Bryce Harper,20K+,,20240521
google_trends,,Nvidia stock,200K+,NVIDIA; NVIDIA; nvidia stock split; ,20240522
google_trends,,Timberwolves,200K+,,20240522
google_trends,,Europa League,200K+,Leverkusen; ,20240522
google_trends,,Pacers,200K+,,20240522
google_trends,,Minnesota timberwolves,100K+,,20240522
google_trends,,Charlie Colin,100K+,,20240522
google_trends,,Tyrese Haliburton,50K+,,20240522
google_trends,,Nikki Haley,50K+,,20240522
google_trends,,Indiana Pacers,20K+,,20240522
google_trends,,Iranian President helicopter crashed,20K+,,20240522
google_trends,,Kelly Rowland,20K+,,20240522
google_trends,,Herbs,20K+,,20240522
google_trends,,Texas,20K+,,20240522
google_trends,,Celtics,200K+,,20240523
google_trends,,Celtics vs Pacers,200K+,,20240523
google_trends,,Heyday,100K+,,20240523
google_trends,,Boston Celtics,100K+,,20240523
google_trends,,Anthony Edwards,100K+,,20240523
google_trends,,Indiana Fever,100K+,,20240523
google_trends,,Beetlejuice,50K+,,20240523
google_trends,,Sean Kingston,50K+,,20240523
google_trends,,Carlo Acutis,50K+,,20240523
google_trends,,Memorial Day meaning,50K+,,20240523
google_trends,,Ebrahim Raisi,50K+,,20240523
google_trends,,Oilers,20K+,,20240523
google_trends,,Taiwan,20K+,,20240523
google_trends,,Live Nation,20K+,,20240523
google_trends,,Stars,20K+,,20240523
google_trends,,Mavericks vs Timberwolves,500K+,Timberwolves; Timberwolves; luka doncic; Timberwolves; Timberwolves; luka doncic; Mavericks; ,20240524
google_trends,,Morgan Spurlock,500K+,Super Size Me; ,20240524
google_trends,,FA Cup,200K+,Manchester United; ,20240524
google_trends,,Timberwolves vs Mavericks,200K+,,20240524
google_trends,,Rangers,100K+,ny rangers; ,20240524
google_trends,,Pacers,100K+,,20240524
google_trends,,Doge,50K+,,20240524
google_trends,,Civil War,50K+,,20240524
google_trends,,Indiana Pacers,20K+,,20240524
google_trends,,Haiti,20K+,,20240524
google_trends,,Luka Dončić,20K+,,20240524
google_trends,,Grayson Murray,2M+,grayson murray cause of death; grayson murray cause of death; grayson murray death; grayson murray cause of death; grayson murray cause of death; grayson murray death; how did grayson murray die; grayson murray cause of death; grayson murray cause of death; grayson murray death; grayson murray cause of death; grayson murray cause of death; grayson murray death; how did grayson murray die; grayson murray suicide; ,20240525
google_trends,,Indy 500,1M+,indy 500 start time; indy 500 start time; Indianapolis 500; indy 500 start time; indy 500 start time; Indianapolis 500; indy 500 weather; ,20240525
google_trends,,Celtics,200K+,,20240525
google_trends,,Celtics vs Pacers,200K+,,20240525
google_trends,,Nicki Minaj Amsterdam,200K+,Nicki Minaj; ,20240525
google_trends,,Monaco Grand Prix,200K+,Charles Leclerc; Charles Leclerc; f1 monaco; ,20240525
google_trends,,Boston Celtics,200K+,,20240525
google_trends,,Kyrie Irving,100K+,,20240525
google_trends,,New York Rangers,20K+,,20240525
google_trends,,Memorial day,5M+,,20240526
google_trends,,Timberwolves vs Mavericks,1M+,Dallas Mavericks; Dallas Mavericks; mavs; Dallas Mavericks; Dallas Mavericks; mavs; Mavericks; Dallas Mavericks; Dallas Mavericks; mavs; Dallas Mavericks; Dallas Mavericks; mavs; Mavericks; mavs vs timberwolves; ,20240526
google_trends,,French Open,200K+,roland garros; roland garros; French Open 2024; ,20240526
google_trends,,Nadal,100K+,Rafael Nadal; ,20240526
google_trends,,Rangers,100K+,ny rangers; ,20240526
google_trends,,Pacers,100K+,,20240526
google_trends,,Kyle Larson Indy 500,100K+,kyle larson; ,20240526
google_trends,,Pacers vs Celtics,100K+,,20240526
google_trends,,Tornado,100K+,valley view tx tornado; valley view tx tornado; texas tornado; ,20240526
google_trends,,Ronald Acuna,50K+,Ronald Acuna Jr; ,20240526
google_trends,,Josef Newgarden,50K+,,20240526
google_trends,,Dereck Lively,50K+,,20240526
google_trends,,Florida Panthers,20K+,,20240526
google_trends,,Bill Walton,1M+,bill walton death; bill walton death; bill walton cancer; bill walton death; bill walton death; bill walton cancer; Bill Walton; ,20240527
google_trends,,Celtics,500K+,,20240527
google_trends,,Rafah,200K+,,20240527
google_trends,,Mike Tyson,100K+,,20240527
google_trends,,Mavericks vs Timberwolves,100K+,,20240527
google_trends,,What is memorial day for,100K+,what is memorial day; ,20240527
google_trends,,Pope Francis,50K+,,20240527
google_trends,,Nick Carter,50K+,,20240527
google_trends,,Jared Ravizza,20K+,,20240527
google_trends,,Brandon McManus,20K+,,20240527
google_trends,,New York Rangers,20K+,,20240527
google_trends,,Stars vs Oilers,20K+,,20240527
google_trends,,Timberwolves,500K+,Mavericks; Mavericks; Minnesota Timberwolves; Mavericks; Mavericks; Minnesota Timberwolves; timberwolves game; ,20240528
google_trends,,Trump verdict,500K+,,20240528
